Word,Count
*,22707
the,4139
,3046
to,2724
string,2451
@param,2179
of,1708
@return,1707
--------------------------------------------------------------------,1403
a,1271
OR,1229
is,1143
and,1054
THE,1046
array,935
in,843
-,745
or,736
|,734
@var,722
IN,706
OF,699
for,667
bool,637
be,595
=,594
this,580
CodeIgniter,534
(c),523
SOFTWARE,522
Copyright,522
Software,522
an,425
data,396
The,395
if,388
This,379
@link,370
without,366
ANY,349
it,349
copies,349
OTHER,349
License,348
FOR,348
Technology,348
2014,348
British,348
Columbia,348
\2015,\,348
MIT,348
notice,348
@copyright,348
Institute,348
@author,339
that,335
files,333
we,323
Dev,315
EllisLab,315
Team,315
on,307
int,305
mixed,300
@package,297
set,292
------------------------------------------------------------------------,287
void,284
name,284
with,283
copy,280
file,279
If,278
query,268
all,265
not,265
any,259
PHP,257
class,249
table,247
object,238
from,235
are,228
do,225
NOT,219
open,218
Class,212
can,207
\copy,\,204
An,203
as,200
%s,198
so,196
will,196
source,195
A,195
\so,\,194
content,194
above,191
Generates,188
following,187
application,186
and/or,186
deal,183
included,182
associated,182
TO,181
Version,180
under,180
AND,179
(the,178
2008,178
permission,178
permit,178
framework,177
IS,177
NO,177
documentation,176
development,176
including,176
OUT,176
WITH,175
BUT,175
released,175
shall,174
\charge,\,174
AUTHORS,174
INCLUDING,174
CONNECTION,174
portions,174
\distribute,\,174
\IMPLIED,\,174
PURPOSE,174
furnished,174
\merge,\,174
\modify,\,174
\LIABILITY,\,174
substantial,174
http://codeigniter.com,174
rights,174
(http://bcit.ca/),174
\CLAIM,\,174
WARRANTY,174
COPYRIGHT,174
\Software,\,174
ACTION,174
subject,174
FITNESS,174
ARISING,174
\restriction,\,174
\granted,\,174
\publish,\,174
persons,174
\CONTRACT,\,174
obtaining,174
WARRANTIES,174
@filesource,174
\"\Software"\),\,174
free,174
AN,174
\use,\,174
WHETHER,174
DAMAGES,174
software,174
HOLDERS,174
NONINFRINGEMENT,174
person,174
PROVIDED,174
\IS"\,\,174
\KIND,\,174
EXPRESS,174
conditions:,174
limitation,174
hereby,174
DEALINGS,174
LIMITED,174
(http://ellislab.com/),174
\FROM,\,174
http://opensource.org/licenses/MIT,174
BE,174
\EllisLab,\,174
\OTHERWISE,\,174
\sublicense,\,174
SHALL,174
\2014,\,174
copyright,174
Permission,174
sell,174
USE,174
LIABLE,174
TORT,174
@license,174
PARTICULAR,174
\MERCHANTABILITY,\,174
EVENT,174
\"\AS\,174
@since,174
Inc,174
WITHOUT,174
whom,174
(MIT),174
Set,173
Database,172
function,167
value,165
@category,164
you,159
statement,157
result,155
use,149
$table,144
only,141
image,138
cut,131
***,131
platform-specific,126
Get,125
by,124
@subpackage,122
error,119
path,119
used,118
Returns,118
flag,118
database,115
TABLE,112
have,111
field,110
type,110
event,103
Whether,101
|--------------------------------------------------------------------------,100
method,97
but,91
names,90
values,90
ID,88
FALSE,88
Table,88
code,88
column,87
Is,87
Field,85
Cache,84
1.0.0,82
We,82
supplied,80
return,78
cache,76
folders,76
based,75
Note:,74
http://codeigniter.com/user_guide/database/,74
number,73
when,73
no,72
need,71
List,71
key,71
folder,71
Libraries,71
SQL,69
message,69
failure,68
time,68
support,68
whether,68
element,67
Outputs,67
URI,67
constructor,67
at,66
//,66
there,66
controller,65
directory,65
character,65
3.0.0,65
current,65
config,65
add,64
Helpers,64
$params,63
TRUE,63
we'll,63
should,61
item,61
into,61
version,60
URL,59
has,59
our,59
library,59
output,59
your,58
attribute,58
default,57
When,57
transactions,57
being,57
using,57
------------------------------------------------------,56
Error,56
=>,56
which,55
containing,55
@used-by,54
tag,54
page,54
connection,54
$str,53
driver,53
fetched,52
session,52
text,51
Data,51
then,51
already,50
keys,50
within,50
server,50
was,50
parameters,49
Fetch,49
Add,49
Session,49
characters,49
tags,49
one,49
$field,49
list,48
user,48
CREATE,48
specified,47
etc,46
Show,46
Result,45
don't,45
supported,44
ALTER,44
than,44
Transaction,44
get,44
FROM,44
resource,44
Drivers,44
it's,43
Load,43
ones,43
extension,43
sure,42
&$attributes,42
BY,42
multiple,41
QB,41
/,41
File,41
Create,41
nested,40
just,40
CI_DB_query_builder,40
first,40
new,39
parameter,39
prefix,39
make,39
associative,39
HTML,39
attributes,39
begin/commit/rollback,38
queries,38
Number,38
},38
outermost,38
other,38
NULL,38
string|string[],38
Query,38
Check,38
edit,38
javascript,38
Convert,37
want,37
we're,37
load,37
returns,37
execute,37
size,37
ORDER,37
empty,37
line,36
end,36
more,36
valid,36
must,36
Remove,36
between,36
AUTO_INCREMENT,36
Path,36
Do,36
update,35
upload,35
Input,35
some,35
attach,35
them,35
out,35
Image,35
filename,34
needed,34
last,34
LIMIT,34
XSS,34
escape,34
clause,34
clipboard,34
-------------------------------------------------------------------,34
Server,34
DB,34
CI,34
contains,34
IF,33
variable,33
databases,33
found,33
check,33
segments,33
been,33
Delete,33
also,33
$values,33
available,32
passed,32
$sql,32
called,32
insert,32
applet,32
%s(1),32
%s(2),32
same,32
height,32
creates,32
cookie,32
jQuery,32
does,32
input,32
No,32
via,32
width,32
migration,32
form,32
back,31
PDO,31
For,31
different,31
delete,31
compatibility,31
determine,31
builder,31
order,30
call,30
create,30
\txt,log\,30
mode,30
$data,30
{,30
It,30
$key,30
instead,30
exist,30
single,29
slash,29
configuration,29
here,29
doesn't,29
INSERT,29
Column,29
cart,29
DROP,28
success,28
length,28
XML-RPC,28
even,28
dynamically,28
Build,28
$id,28
store,28
headers,27
Initialize,27
@see,27
Forge,27
statements,27
..,27
loaded,27
work,27
DSN,27
$n,27
options,27
Array,27
raw,27
structure,27
parent,27
0,27
===,27
app,26
they,26
template,26
Insert,26
these,26
definition,26
custom,26
Default,26
In,26
see,26
uploaded,26
$config,25
spaces,25
fields,25
display,25
request,25
alias,25
You,25
cached,25
offset,25
&$field,25
variables,25
Javascript,25
Use,25
segment,25
enabled,25
Adapter,25
remove,25
UNSIGNED,25
:,25
$test_mode,25
before,25
match,25
up,25
String,25
messages,24
calls,24
through,24
errors,24
random,24
--------------------------------------------------------,24
Process,24
validation,24
two,24
info,24
each,24
*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-**-*-*-*-*-*-*-*-*-*-*-*-*-,24
Determines,24
Dumping,24
system,24
_DB,24
like,24
strings,24
would,24
might,24
CSRF,24
extender,24
-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-**-*-*-*-*-*-*-*-*-*-*-*-*-*-,24
Reset,24
Update,24
Output,23
Takes,23
callback,23
WHERE,23
$prefix_limit,23
most,23
requested,23
rows,23
log,23
base,23
level,23
timestamp,23
Parse,23
color,23
below,23
exists,23
setting,23
.=,22
Close,22
rules,22
always,22
$path,22
since,22
Write,22
specific,22
replace,22
New,22
SET,22
tables,22
portion,22
override,22
$alter_type,22
after,22
Compile,22
allowed,22
elements,21
date,21
index,21
because,21
Current,21
where,21
