File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\xampp\htdocs\uscsportsportal\index.php,293,95,56,13,32,4,166,921,0,0
D:\xampp\htdocs\uscsportsportal\application\config\autoload.php,130,9,8,0,9,0,112,398,0,0
D:\xampp\htdocs\uscsportsportal\application\config\config.php,518,53,51,0,30,1,435,2031,0,0
D:\xampp\htdocs\uscsportsportal\application\config\constants.php,86,25,24,0,5,12,56,302,0,0
D:\xampp\htdocs\uscsportsportal\application\config\database.php,97,25,4,0,3,0,69,592,0,0
D:\xampp\htdocs\uscsportsportal\application\config\doctypes.php,25,23,2,0,2,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\application\config\foreign_chars.php,104,94,2,0,2,0,8,27,0,0
D:\xampp\htdocs\uscsportsportal\application\config\hooks.php,14,2,1,0,2,0,10,34,0,0
D:\xampp\htdocs\uscsportsportal\application\config\memcached.php,20,9,2,0,2,0,9,21,0,0
D:\xampp\htdocs\uscsportsportal\application\config\migration.php,85,8,7,0,7,0,70,315,0,0
D:\xampp\htdocs\uscsportsportal\application\config\mimes.php,159,149,2,1,2,0,8,32,0,0
D:\xampp\htdocs\uscsportsportal\application\config\profiler.php,15,2,1,0,2,0,11,42,0,0
D:\xampp\htdocs\uscsportsportal\application\config\routes.php,80,26,25,0,4,0,50,251,0,0
D:\xampp\htdocs\uscsportsportal\application\config\smileys.php,65,47,2,0,5,0,13,60,0,0
D:\xampp\htdocs\uscsportsportal\application\config\user_agents.php,212,171,5,0,11,0,30,163,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers\Announcement.php,75,58,47,1,15,0,2,7,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers\Announcement_admin.php,134,85,60,4,23,0,26,84,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers\Game.php,60,23,17,0,12,0,25,83,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers\Game_admin.php,124,75,53,4,23,0,26,84,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers\Login.php,165,129,101,18,34,0,2,3,0,0
D:\xampp\htdocs\uscsportsportal\application\controllers\Match.php,73,27,21,0,20,0,26,87,0,0
