File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\xampp\htdocs\uscsportsportal\index.php,switch(ENVIRONMENT),23,21,13,3,2,1,0,1,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,deleteDir($dir),22,21,11,8,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"duplicate_file($old_path, $name)",12,11,7,4,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"rename_file($old_path, $name, $transliteration)",13,12,8,4,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"rename_folder($old_path, $name, $transliteration)",12,11,7,4,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"create_img($imgfile, $imgthumb, $newwidth, $newheight = null, $option = ""crop"")",16,16,13,3,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,makeSize($size),10,9,7,2,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,folder_info($path),27,26,18,3,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,filescount($path),23,21,13,3,2,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"create_folder($path = null, $path_thumbs = null)",11,11,7,2,0,2,0,20,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"check_files_extensions_on_path($path, $ext)",17,17,9,2,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"check_files_extensions_on_phar($phar, &$files, $basepath, $ext)",19,19,9,3,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,fix_get_params($str),2,2,2,1,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"fix_filename($str, $transliteration, $convert_spaces = false, $replace_with = ""_"", $is_folder = false)",32,24,12,5,5,1,3,32,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,fix_dirname($str),2,2,2,1,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,fix_strtoupper($str),9,9,5,3,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,fix_strtolower($str),9,9,5,3,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"fix_path($path, $transliteration, $convert_spaces = false, $replace_with = ""_"")",12,12,8,3,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,base_url(),6,6,2,1,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"config_loading($current_path, $fld)",14,12,8,4,2,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"image_check_memory_usage($img, $max_breedte, $max_hoogte)",38,37,23,8,1,1,0,5,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"endsWith($haystack, $needle)",2,2,2,1,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"new_thumbnails_creation($targetPath, $targetFile, $name, $current_path, $relative_image_creation, $relative_path_from_current_pos, $relative_image_creation_name_to_prepend, $relative_image_creation_name_to_append, $relative_image_creation_width, $relative_image_creation_height, $relative_image_creation_option, $fixed_image_creation, $fixed_path_from_filemanager, $fixed_image_creation_name_to_prepend, $fixed_image_creation_to_append, $fixed_image_creation_width, $fixed_image_creation_height, $fixed_image_creation_option)",49,45,23,10,2,0,2,6,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,get_file_by_url($url),20,16,12,5,4,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,is_really_writable($dir),32,24,16,8,6,0,2,12,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,is_function_callable($name),8,7,5,3,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"rcopy($source, $destination, $is_rec = false)",39,37,19,6,2,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"rrename($source, $destination, $is_rec = false)",39,37,19,6,2,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,rrename_after_cleaner($source),19,17,9,3,2,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"rchmod($source, $mode, $rec_option = ""none"", $is_rec = false)",36,34,16,6,2,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"chmod_logic_helper($perm, $val)",15,14,6,3,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,"debugger($input, $trace = false, $halt = false)",37,30,22,3,7,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\include\utils.php,is_php($version = '5.0.0'),10,8,6,2,2,0,0,0,
D:\xampp\htdocs\uscsportsportal\filemanager\uploader\index.php,"handle_uploaded_files($juploadPhpSupportClass, $files)",6,5,2,1,1,0,0,0,
D:\xampp\htdocs\uscsportsportal\system\core\CodeIgniter.php,get_instance(),2,2,2,1,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\system\database\DB.php,"DB($params = '', $query_builder_override = NULL)",166,113,57,19,20,1,33,175,
D:\xampp\htdocs\uscsportsportal\system\libraries\Unit_test.php,is_true($test),2,2,2,1,0,0,0,0,
D:\xampp\htdocs\uscsportsportal\system\libraries\Unit_test.php,is_false($test),2,2,2,1,0,0,0,0,
